symbol,entry_time,exit_time,entry_px,exit_px,sl_px,tp_px,qty,pnl,r_mult,reason
AAPL,2025-10-20 17:35:00+00:00,2025-10-20 18:15:00+00:00,263.0686950683594,263.72306169782365,262.63245064871654,263.72306169782365,1146,749.9041573660621,1.500000000000065,TP
MSFT,2025-10-20 17:35:00+00:00,2025-10-20 18:35:00+00:00,517.7501220703125,517.3511875697544,517.3511875697544,518.3485238211496,1253,-499.8649291992798,-1.0,SL
SPY,2025-10-20 17:55:00+00:00,2025-10-20 18:45:00+00:00,671.798828125,671.51613507952,671.51613507952,672.2228676932199,1768,-499.8013044085683,-1.0,SL
AAPL,2025-10-20 18:20:00+00:00,2025-10-20 18:30:00+00:00,263.7300109863281,263.3796604701451,263.3796604701451,264.2555367606027,1427,-499.9501865931804,-1.0,SL
AAPL,2025-10-20 18:35:00+00:00,2025-10-20 18:45:00+00:00,263.5,263.1803000313895,263.1803000313895,263.97954995291576,1563,-499.69105093822293,-1.0,SL
AAPL,2025-10-20 18:50:00+00:00,2025-10-20 19:05:00+00:00,263.1700134277344,263.6863316127232,262.82580130440846,263.6863316127232,1452,749.6940046038064,1.4999999999999174,TP
SPY,2025-10-20 19:00:00+00:00,2025-10-20 19:15:00+00:00,671.85498046875,671.5882524762835,671.5882524762835,672.2550724574497,1874,-499.8482578821936,-1.0,SL
AAPL,2025-10-20 19:10:00+00:00,2025-10-20 19:50:00+00:00,263.5,263.1731937953404,263.1731937953404,263.9902093069894,1529,-499.68668692451325,-1.0,SL
SPY,2025-10-20 19:25:00+00:00,2025-10-20 19:55:00+00:00,671.7100219726562,671.4243643624442,671.4243643624442,672.1385083879743,1750,-499.9008178711222,-1.0,SL
SPY,2025-10-21 13:30:00+00:00,2025-10-21 13:40:00+00:00,671.5050048828125,671.135724748884,671.135724748884,672.0589250837054,1353,-499.63602120533517,-1.0,SL
AAPL,2025-10-21 13:35:00+00:00,2025-10-21 13:40:00+00:00,264.739990234375,264.1387176513672,264.1387176513672,265.6418991088867,831,-499.6575164794922,-1.0,SL
MSFT,2025-10-21 13:40:00+00:00,2025-10-21 13:45:00+00:00,517.25,516.5927821568081,516.5927821568081,518.2358267647879,760,-499.4855608258558,-1.0,SL
AAPL,2025-10-21 13:45:00+00:00,2025-10-21 13:50:00+00:00,263.67498779296875,264.7847115652902,262.9351719447545,264.7847115652902,675,749.0635463169752,1.5000000000000384,TP
MSFT,2025-10-21 13:50:00+00:00,2025-10-21 14:00:00+00:00,517.969970703125,517.1422598702567,517.1422598702567,519.2115369524274,604,-499.93734305246517,-1.0,SL
AAPL,2025-10-21 13:55:00+00:00,2025-10-21 14:40:00+00:00,263.80499267578125,262.9075251988002,262.9075251988002,265.1511938912528,557,-499.88938467843644,-1.0,SL
SPY,2025-10-21 14:50:00+00:00,2025-10-21 16:55:00+00:00,672.094970703125,671.3836233956473,671.3836233956473,673.1619916643415,702,-499.36580984934176,-1.0,SL
AAPL,2025-10-21 15:35:00+00:00,2025-10-21 16:05:00+00:00,264.2101135253906,263.6392713274275,263.6392713274275,265.06637682233537,875,-499.4869232177521,-1.0,SL
AAPL,2025-10-21 16:10:00+00:00,2025-10-21 16:25:00+00:00,263.6249084472656,263.129405430385,263.129405430385,264.3681629725865,1009,-499.96254403253016,-1.0,SL
AAPL,2025-10-21 17:40:00+00:00,2025-10-21 18:20:00+00:00,263.6824951171875,263.37902178083147,263.37902178083147,264.1377051217215,1647,-499.8205849783895,-1.0,SL
SPY,2025-10-21 18:00:00+00:00,2025-10-21 18:15:00+00:00,672.3200073242188,671.7968008858817,671.7968008858817,673.1048169817243,955,-499.66214861190167,-1.0,SL
MSFT,2025-10-21 18:15:00+00:00,2025-10-21 18:55:00+00:00,515.6900024414062,516.6796024867466,515.030269077846,516.6796024867466,757,749.1272343226473,1.5,TP
SPY,2025-10-21 18:20:00+00:00,2025-10-21 18:40:00+00:00,672.2849731445312,671.845698765346,671.845698765346,672.9438847133091,1138,-499.89424351279786,-1.0,SL
AAPL,2025-10-21 18:25:00+00:00,2025-10-21 19:25:00+00:00,263.44989013671875,263.1007603236607,263.1007603236607,263.9735848563058,1432,-499.9538922990955,-1.0,SL
SPY,2025-10-21 18:45:00+00:00,2025-10-21 19:55:00+00:00,672.030029296875,671.6693246023996,671.6693246023996,672.5710863385882,1386,-499.93670654294624,-1.0,SL
MSFT,2025-10-21 19:10:00+00:00,2025-10-21 19:50:00+00:00,517.010009765625,517.7532152448382,516.5145394461496,517.7532152448382,1009,749.894328526121,1.5000000000001148,TP
MSFT,2025-10-22 14:30:00+00:00,2025-10-22 14:55:00+00:00,522.25,524.5165383475168,520.7389744349888,524.5165383475168,330,747.9576546805299,1.4999999999999625,TP
MSFT,2025-10-22 15:00:00+00:00,2025-10-22 15:05:00+00:00,524.7750244140625,523.5929303850446,523.5929303850446,526.5481654575893,422,-498.8436802455494,-1.0,SL
MSFT,2025-10-22 15:10:00+00:00,2025-10-22 15:20:00+00:00,523.4000244140625,522.2188415527344,522.2188415527344,525.1717987060547,423,-499.6403503417969,-1.0,SL
MSFT,2025-10-22 15:25:00+00:00,2025-10-22 16:30:00+00:00,522.7100219726562,521.5536804199219,521.5536804199219,524.4445343017578,432,-499.53955078125,-1.0,SL
MSFT,2025-10-22 16:35:00+00:00,2025-10-22 16:50:00+00:00,522.8599853515625,521.8264290945871,521.8264290945871,524.4103197370257,483,-499.2076721191328,-1.0,SL
MSFT,2025-10-22 16:55:00+00:00,2025-10-22 17:05:00+00:00,522.9099731445312,521.8928527832031,521.8928527832031,524.4356536865234,491,-499.4060974121094,-1.0,SL
SPY,2025-10-22 19:10:00+00:00,2025-10-22 19:35:00+00:00,666.8900146484375,668.2765611921038,665.9656502859933,668.2765611921038,540,748.7351335798166,1.5000000000000615,TP
AAPL,2025-10-22 19:30:00+00:00,2025-10-22 19:50:00+00:00,257.6000061035156,258.25513131277904,257.1632559640067,258.25513131277904,1144,749.4632393973493,1.5,TP
SPY,2025-10-22 19:40:00+00:00,2025-10-23 13:35:00+00:00,667.6599731445312,668.8760223388672,666.8492736816406,668.8760223388672,616,749.0863037109375,1.5,TP
MSFT,2025-10-22 19:45:00+00:00,2025-10-22 19:50:00+00:00,520.7249755859375,520.069069998605,520.069069998605,521.7088339669364,762,-499.8000575473959,-1.0,SL
MSFT,2025-10-22 19:55:00+00:00,2025-10-23 13:30:00+00:00,520.47998046875,521.611323765346,519.7257516043527,521.611323765346,662,748.9492623465617,1.5000000000000753,TP
AAPL,2025-10-23 13:40:00+00:00,2025-10-23 14:25:00+00:00,258.5,259.4056952340262,257.89620317731584,259.4056952340262,828,749.9156537737031,1.499999999999953,TP
MSFT,2025-10-23 13:40:00+00:00,2025-10-23 13:45:00+00:00,520.5700073242188,522.2460501534598,519.4526454380581,522.2460501534598,447,749.1911446707517,1.5000000000000508,TP
MSFT,2025-10-23 13:50:00+00:00,2025-10-23 14:05:00+00:00,522.4000244140625,521.1791120256696,521.1791120256696,524.2313929966518,409,-499.35316685269186,-1.0,SL
SPY,2025-10-23 14:05:00+00:00,2025-10-23 14:15:00+00:00,669.3900146484375,668.615012032645,668.615012032645,670.5525185721261,645,-499.87668718613634,-1.0,SL
MSFT,2025-10-23 14:10:00+00:00,2025-10-23 16:05:00+00:00,521.5999755859375,523.7235216413226,520.1842782156808,523.7235216413226,353,749.6117575509322,1.5000000000000402,TP
SPY,2025-10-23 14:20:00+00:00,2025-10-23 15:55:00+00:00,669.4600219726562,670.7183489118304,668.6211373465402,670.7183489118304,596,749.9628557477872,1.5000000000000677,TP
AAPL,2025-10-23 14:30:00+00:00,2025-10-23 15:50:00+00:00,259.2637023925781,260.37943267822266,258.51988220214844,260.37943267822266,672,749.770751953125,1.5,TP
AAPL,2025-10-23 15:55:00+00:00,2025-10-23 17:00:00+00:00,260.25,259.76299830845426,259.76299830845426,260.9805025373186,1026,-499.663735525932,-1.0,SL
SPY,2025-10-23 16:00:00+00:00,2025-10-23 16:55:00+00:00,670.5,671.5243639264788,669.8170907156808,671.5243639264788,732,749.8343941825015,1.5000000000000833,TP
MSFT,2025-10-23 16:10:00+00:00,2025-10-23 16:20:00+00:00,523.52001953125,522.6864231654575,522.6864231654575,524.7704140799386,599,-499.3242231096832,-1.0,SL
MSFT,2025-10-23 16:25:00+00:00,2025-10-23 17:05:00+00:00,522.489990234375,521.7078203473773,521.7078203473773,523.6632450648716,639,-499.8065577915529,-1.0,SL
AAPL,2025-10-23 17:05:00+00:00,2025-10-23 19:35:00+00:00,259.94000244140625,259.875,259.5553218296596,260.5170233590262,1299,-84.43817138671875,-0.16897769063822438,TIME
SPY,2025-10-23 17:05:00+00:00,2025-10-23 17:10:00+00:00,670.780029296875,671.4309561593192,670.3460780552456,671.4309561593192,1152,749.8677455356956,1.500000000000131,TP
SPY,2025-10-23 17:15:00+00:00,2025-10-23 17:35:00+00:00,671.1599731445312,671.8678785051618,670.6880362374442,671.8678785051618,1059,749.6717769077502,1.4999999999998797,TP
MSFT,2025-10-23 17:35:00+00:00,2025-10-23 19:05:00+00:00,522.97998046875,522.4859793526786,522.4859793526786,523.7209821428571,1012,-499.92912946430215,-1.0,SL
SPY,2025-10-23 17:40:00+00:00,2025-10-23 19:50:00+00:00,672.1799926757812,671.6607666015625,671.6607666015625,672.9588317871094,962,-499.4954833984375,-1.0,SL
MSFT,2025-10-23 19:10:00+00:00,2025-10-23 19:30:00+00:00,522.7100219726562,522.3211975097656,522.3211975097656,523.2932586669922,1285,-499.6394348144531,-1.0,SL
AAPL,2025-10-24 13:40:00+00:00,2025-10-24 13:45:00+00:00,260.32000732421875,259.8274928501674,259.8274928501674,261.05877903529574,1015,-499.9021911621176,-1.0,SL
MSFT,2025-10-24 13:40:00+00:00,2025-10-24 13:45:00+00:00,524.4600219726562,523.644025530134,523.644025530134,525.6840166364398,612,-499.3898228236508,-1.0,SL
MSFT,2025-10-24 13:50:00+00:00,2025-10-24 16:20:00+00:00,522.53369140625,523.3699951171875,521.5345894949777,524.0323442731585,500,418.15185546875,0.8370554610114898,TIME
AAPL,2025-10-24 14:00:00+00:00,2025-10-24 14:25:00+00:00,260.260009765625,261.2762941632952,259.5824868338449,261.2762941632952,737,749.0016010829202,1.5000000000000002,TP
AAPL,2025-10-24 14:30:00+00:00,2025-10-24 15:10:00+00:00,261.2749938964844,262.41458020891463,260.5152696881975,262.41458020891463,658,749.8477935791069,1.4999999999999627,TP
SPY,2025-10-24 14:40:00+00:00,2025-10-24 14:50:00+00:00,677.5526733398438,676.901362827846,676.901362827846,678.5296391078404,767,-499.55516270226303,-1.0,SL
SPY,2025-10-24 14:55:00+00:00,2025-10-24 15:15:00+00:00,676.6900024414062,677.6392538888114,676.0571681431362,677.6392538888114,790,749.908643450043,1.50000000000009,TP
SPY,2025-10-24 15:20:00+00:00,2025-10-24 15:45:00+00:00,678.280029296875,677.64113507952,677.64113507952,679.2383706229074,782,-499.6152779715783,-1.0,SL
SPY,2025-10-24 15:50:00+00:00,2025-10-24 16:40:00+00:00,677.989990234375,677.4442574637277,677.4442574637277,678.808589390346,916,-499.89121791293155,-1.0,SL
AAPL,2025-10-24 16:20:00+00:00,2025-10-24 16:35:00+00:00,263.55169677734375,263.1650935581752,263.1650935581752,264.1316016060965,1293,-499.87796238491563,-1.0,SL
MSFT,2025-10-24 16:25:00+00:00,2025-10-24 16:35:00+00:00,523.9400024414062,524.7729230608259,523.3847220284598,524.7729230608259,900,749.6285574776493,1.4999999999998976,TP
MSFT,2025-10-24 16:40:00+00:00,2025-10-24 16:50:00+00:00,524.7999877929688,524.2451651436942,524.2451651436942,525.6322217668805,901,-499.8952069963874,-1.0,SL
AAPL,2025-10-24 16:45:00+00:00,2025-10-24 17:35:00+00:00,263.20001220703125,263.7561296735491,262.8292672293527,263.7561296735491,1348,749.6463448660386,1.5,TP
SPY,2025-10-24 16:45:00+00:00,2025-10-24 19:15:00+00:00,677.9310302734375,678.1599731445312,677.536355154855,678.5230429513114,1266,289.8416748046875,0.5800793116018788,TIME
MSFT,2025-10-24 17:15:00+00:00,2025-10-24 17:35:00+00:00,523.8049926757812,524.6694793701172,523.2286682128906,524.6694793701172,867,749.5099639892578,1.5,TP
