time,open,high,low,close,volume
2025-09-30 19:20:00+00:00,253.56,253.88,253.51,253.83,8271
2025-09-30 19:25:00+00:00,253.85,254.025,253.835,253.95,8389
2025-09-30 19:30:00+00:00,253.95,253.98,253.83,253.95,8507
2025-09-30 19:35:00+00:00,253.95,254.205,253.925,254.17,10321
2025-09-30 19:40:00+00:00,254.125,254.125,253.93,254.045,14664
2025-09-30 19:45:00+00:00,254.075,254.475,254.03,254.475,13178
2025-09-30 19:50:00+00:00,254.46,255.165,254.235,254.94,46438
2025-09-30 19:55:00+00:00,254.9,255.07,254.54,254.56,69471
2025-10-01 13:20:00+00:00,254.91,254.91,254.91,254.91,145
2025-10-01 13:30:00+00:00,255.035,256.73,254.975,256.6,63069
2025-10-01 13:35:00+00:00,256.51,258.78,256.41,257.99,48927
2025-10-01 13:40:00+00:00,258.17,258.42,257.385,257.63,27400
2025-10-01 13:45:00+00:00,257.65,257.65,255.51,255.51,28180
2025-10-01 13:50:00+00:00,255.34,256.26,255.31,256.25,24630
2025-10-01 13:55:00+00:00,256.205,256.54,255.925,256.47,35148
2025-10-01 14:00:00+00:00,256.385,256.74,256.14,256.54,31975
2025-10-01 14:05:00+00:00,256.41,256.41,255.77,255.785,31686
2025-10-01 14:10:00+00:00,255.93,256.01,255.435,255.93,9490
2025-10-01 14:15:00+00:00,256.015,257.01,255.98,256.94,23056
2025-10-01 14:20:00+00:00,256.95,257.325,256.63,256.74,18187
2025-10-01 14:25:00+00:00,256.725,256.79,256.185,256.27,55523
2025-10-01 14:30:00+00:00,256.185,256.24,255.42,255.645,27379
2025-10-01 14:35:00+00:00,255.925,255.98,255.72,255.845,14019
2025-10-01 14:40:00+00:00,255.82,255.82,255.535,255.54,16300
2025-10-01 14:45:00+00:00,255.57,255.9,255.53,255.81,11958
2025-10-01 14:50:00+00:00,255.785,255.88,255.58,255.84,9322
2025-10-01 14:55:00+00:00,255.815,255.92,255.57,255.58,12152
2025-10-01 15:00:00+00:00,255.545,255.61,255.4,255.4,14310
2025-10-01 15:05:00+00:00,255.41,255.61,255.305,255.38,21009
2025-10-01 15:10:00+00:00,255.38,255.6,255.21,255.5,10254
2025-10-01 15:15:00+00:00,255.565,255.565,255.26,255.42,9573
2025-10-01 15:20:00+00:00,255.395,255.515,255.225,255.28,16707
2025-10-01 15:25:00+00:00,255.25,255.56,255.12,255.545,7942
2025-10-01 15:30:00+00:00,255.555,255.81,255.52,255.55,7947
2025-10-01 15:35:00+00:00,255.53,255.86,255.51,255.83,6515
2025-10-01 15:40:00+00:00,255.83,255.89,255.72,255.81,5263
2025-10-01 15:45:00+00:00,255.81,256.03,255.675,255.675,7402
2025-10-01 15:50:00+00:00,255.65,255.79,255.555,255.77,7178
2025-10-01 15:55:00+00:00,255.75,256.11,255.75,256.11,13052
2025-10-01 16:00:00+00:00,256.09,256.445,256.09,256.35,12855
2025-10-01 16:05:00+00:00,256.34,256.555,256.31,256.52,9868
2025-10-01 16:10:00+00:00,256.48,256.89,256.48,256.635,9323
2025-10-01 16:15:00+00:00,256.625,256.625,256.25,256.27,10050
2025-10-01 16:20:00+00:00,256.2,256.2,255.945,256.065,9157
2025-10-01 16:25:00+00:00,256.065,256.27,256.065,256.15,5443
2025-10-01 16:30:00+00:00,256.16,256.35,256.12,256.12,6554
2025-10-01 16:35:00+00:00,256.035,256.5,256.035,256.465,22964
2025-10-01 16:40:00+00:00,256.47,256.62,256.26,256.26,17869
2025-10-01 16:45:00+00:00,256.16,256.545,256.13,256.42,9888
2025-10-01 16:50:00+00:00,256.47,256.565,256.38,256.38,6119
2025-10-01 16:55:00+00:00,256.38,256.485,256.36,256.46,5311
2025-10-01 17:00:00+00:00,256.49,256.79,256.49,256.75,6429
2025-10-01 17:05:00+00:00,256.58,256.65,256.49,256.54,6965
2025-10-01 17:10:00+00:00,256.515,256.52,256.07,256.07,6693
2025-10-01 17:15:00+00:00,256.03,256.23,255.98,256.12,12822
2025-10-01 17:20:00+00:00,256.125,256.2,256.035,256.035,6164
2025-10-01 17:25:00+00:00,255.965,256.13,255.86,256.13,5956
2025-10-01 17:30:00+00:00,256.19,256.2,256.07,256.08,3007
2025-10-01 17:35:00+00:00,256.08,256.415,256.08,256.38,4428
2025-10-01 17:40:00+00:00,256.37,256.44,256.3,256.37,4664
2025-10-01 17:45:00+00:00,256.35,256.41,256.23,256.28,6605
2025-10-01 17:50:00+00:00,256.32,256.38,256.32,256.35,2527
2025-10-01 17:55:00+00:00,256.39,256.55,256.36,256.44,5548
2025-10-01 18:00:00+00:00,256.44,256.665,256.43,256.53,8692
2025-10-01 18:05:00+00:00,256.58,256.64,256.49,256.52,7546
2025-10-01 18:10:00+00:00,256.51,256.63,256.41,256.585,5137
2025-10-01 18:15:00+00:00,256.62,256.66,256.585,256.585,3657
2025-10-01 18:20:00+00:00,256.61,256.65,256.485,256.54,6866
2025-10-01 18:25:00+00:00,256.57,256.64,256.46,256.46,2760
2025-10-01 18:30:00+00:00,256.475,256.53,256.32,256.395,3790
2025-10-01 18:35:00+00:00,256.43,256.45,256.29,256.38,5827
2025-10-01 18:40:00+00:00,256.35,256.52,256.325,256.325,3595
2025-10-01 18:45:00+00:00,256.3,256.405,256.25,256.4,3973
2025-10-01 18:50:00+00:00,256.4,256.465,256.33,256.38,3888
2025-10-01 18:55:00+00:00,256.39,256.74,256.38,256.74,5086
2025-10-01 19:00:00+00:00,256.76,256.94,256.56,256.67,8759
2025-10-01 19:05:00+00:00,256.62,256.83,256.61,256.78,3743
2025-10-01 19:10:00+00:00,256.76,256.77,256.63,256.68,4113
2025-10-01 19:15:00+00:00,256.67,256.68,256.525,256.55,9331
2025-10-01 19:20:00+00:00,256.56,256.56,255.93,255.93,13299
2025-10-01 19:25:00+00:00,255.94,256.075,255.89,255.96,11977
2025-10-01 19:30:00+00:00,255.94,256.12,255.94,256.03,9653
2025-10-01 19:35:00+00:00,255.94,255.94,255.43,255.5,11768
2025-10-01 19:40:00+00:00,255.48,255.61,255.38,255.39,19560
2025-10-01 19:45:00+00:00,255.37,255.74,255.29,255.74,17671
2025-10-01 19:50:00+00:00,255.84,255.845,255.4,255.58,33747
2025-10-01 19:55:00+00:00,255.67,255.67,255.365,255.43,64611
2025-10-02 12:55:00+00:00,256.19,256.2,256.19,256.19,501
2025-10-02 13:05:00+00:00,255.95,255.95,255.95,255.95,215
2025-10-02 13:10:00+00:00,256.0,256.0,256.0,256.0,200
2025-10-02 13:30:00+00:00,256.55,257.27,255.85,255.89,62206
2025-10-02 13:35:00+00:00,255.95,256.13,254.51,254.52,35194
2025-10-02 13:40:00+00:00,254.44,254.945,254.16,254.78,37286
2025-10-02 13:45:00+00:00,254.785,255.36,254.555,255.135,33791
2025-10-02 13:50:00+00:00,255.19,255.94,254.95,255.8,22547
2025-10-02 13:55:00+00:00,255.7,256.065,255.57,256.04,29328
2025-10-02 14:00:00+00:00,256.035,256.14,255.67,256.1,26123
2025-10-02 14:05:00+00:00,256.06,256.09,255.65,256.01,23474
2025-10-02 14:10:00+00:00,255.99,256.25,255.88,256.235,22209
2025-10-02 14:15:00+00:00,256.23,256.66,256.005,256.53,13935
2025-10-02 14:20:00+00:00,256.52,256.59,256.31,256.47,10933
2025-10-02 14:25:00+00:00,256.525,256.635,256.145,256.2,12046
2025-10-02 14:30:00+00:00,256.23,256.465,256.1,256.38,17549
2025-10-02 14:35:00+00:00,256.31,256.58,256.31,256.56,14395
2025-10-02 14:40:00+00:00,256.57,256.65,256.395,256.65,13317
2025-10-02 14:45:00+00:00,256.72,256.76,256.29,256.32,11163
2025-10-02 14:50:00+00:00,256.25,256.27,256.005,256.24,11353
2025-10-02 14:55:00+00:00,256.26,256.51,256.22,256.325,15489
2025-10-02 15:00:00+00:00,256.26,256.28,256.06,256.11,8841
2025-10-02 15:05:00+00:00,256.1,256.22,255.98,256.02,9983
2025-10-02 15:10:00+00:00,256.01,256.63,256.01,256.59,11075
2025-10-02 15:15:00+00:00,256.59,256.61,256.25,256.25,7421
2025-10-02 15:20:00+00:00,256.2,256.395,256.125,256.395,6315
2025-10-02 15:25:00+00:00,256.37,257.62,256.36,257.21,29812
2025-10-02 15:30:00+00:00,257.11,257.175,256.75,257.015,6083
2025-10-02 15:35:00+00:00,257.06,257.63,257.06,257.42,10806
2025-10-02 15:40:00+00:00,257.38,257.58,257.215,257.5,12203
2025-10-02 15:45:00+00:00,257.44,257.7,256.92,256.975,7503
2025-10-02 15:50:00+00:00,256.96,257.275,256.95,257.26,4534
2025-10-02 15:55:00+00:00,257.25,257.98,257.25,257.77,9762
2025-10-02 16:00:00+00:00,257.78,258.17,257.71,258.03,17179
2025-10-02 16:05:00+00:00,257.825,258.09,257.76,257.975,10612
2025-10-02 16:10:00+00:00,258.08,258.08,257.72,257.79,6034
2025-10-02 16:15:00+00:00,257.685,257.85,257.53,257.815,7353
2025-10-02 16:20:00+00:00,257.69,257.69,257.46,257.52,5895
2025-10-02 16:25:00+00:00,257.47,257.54,257.345,257.345,5976
2025-10-02 16:30:00+00:00,257.33,257.365,257.19,257.255,4947
2025-10-02 16:35:00+00:00,257.33,257.53,257.33,257.45,5543
2025-10-02 16:40:00+00:00,257.35,257.395,257.12,257.17,2502
2025-10-02 16:45:00+00:00,257.27,257.34,257.13,257.195,3750
2025-10-02 16:50:00+00:00,257.27,257.365,257.165,257.365,1642
2025-10-02 16:55:00+00:00,257.32,257.56,257.25,257.515,5109
2025-10-02 17:00:00+00:00,257.48,257.51,257.37,257.51,5420
2025-10-02 17:05:00+00:00,257.51,257.55,257.41,257.42,3215
2025-10-02 17:10:00+00:00,257.405,257.81,257.38,257.74,5117
2025-10-02 17:15:00+00:00,257.795,257.81,257.355,257.375,7802
2025-10-02 17:20:00+00:00,257.38,257.44,257.25,257.35,3677
2025-10-02 17:25:00+00:00,257.35,257.48,257.35,257.42,3860
2025-10-02 17:30:00+00:00,257.41,257.52,257.35,257.52,4982
2025-10-02 17:35:00+00:00,257.56,257.56,257.335,257.5,4626
2025-10-02 17:40:00+00:00,257.605,257.725,257.495,257.52,5995
2025-10-02 17:45:00+00:00,257.42,257.5,257.37,257.37,2976
2025-10-02 17:50:00+00:00,257.35,257.35,257.12,257.14,6363
2025-10-02 17:55:00+00:00,257.1,257.26,257.1,257.12,1911
2025-10-02 18:00:00+00:00,257.16,257.45,257.13,257.3,21639
2025-10-02 18:05:00+00:00,257.355,257.56,257.345,257.36,16973
2025-10-02 18:10:00+00:00,257.34,257.51,257.3,257.45,9096
2025-10-02 18:15:00+00:00,257.37,257.505,257.35,257.48,9808
2025-10-02 18:20:00+00:00,257.49,257.69,257.48,257.63,10887
2025-10-02 18:25:00+00:00,257.6,257.9,257.565,257.865,9928
2025-10-02 18:30:00+00:00,257.845,258.0,257.74,257.95,17692
2025-10-02 18:35:00+00:00,257.95,258.155,257.9,258.15,11248
2025-10-02 18:40:00+00:00,258.12,258.12,257.73,257.97,9554
2025-10-02 18:45:00+00:00,257.94,258.06,257.94,257.96,17133
2025-10-02 18:50:00+00:00,257.9,257.95,257.79,257.95,4465
2025-10-02 18:55:00+00:00,257.82,257.985,257.79,257.91,4997
2025-10-02 19:00:00+00:00,257.93,257.95,257.81,257.93,11681
2025-10-02 19:05:00+00:00,257.91,257.92,257.77,257.785,5862
2025-10-02 19:10:00+00:00,257.67,257.67,257.51,257.61,8024
2025-10-02 19:15:00+00:00,257.59,257.59,257.38,257.51,14476
2025-10-02 19:20:00+00:00,257.51,257.65,257.5,257.64,10837
2025-10-02 19:25:00+00:00,257.65,257.67,257.515,257.515,15880
2025-10-02 19:30:00+00:00,257.51,257.85,257.51,257.81,18856
2025-10-02 19:35:00+00:00,257.82,257.83,257.52,257.53,8681
2025-10-02 19:40:00+00:00,257.545,257.565,257.345,257.37,7414
2025-10-02 19:45:00+00:00,257.43,257.48,257.14,257.44,26072
2025-10-02 19:50:00+00:00,257.46,257.585,257.12,257.27,103916
2025-10-02 19:55:00+00:00,257.15,257.43,256.995,257.43,51975
2025-10-03 12:45:00+00:00,254.18,254.18,254.16,254.16,230
2025-10-03 12:50:00+00:00,254.25,254.25,254.25,254.25,130
2025-10-03 13:30:00+00:00,254.665,256.63,253.96,256.62,103925
2025-10-03 13:35:00+00:00,256.89,258.14,256.86,257.88,77192
2025-10-03 13:40:00+00:00,257.88,258.18,257.55,257.88,68802
2025-10-03 13:45:00+00:00,257.91,258.59,257.64,258.59,63561
2025-10-03 13:50:00+00:00,258.56,259.02,258.31,259.0,51979
2025-10-03 13:55:00+00:00,258.97,258.99,258.19,258.195,72666
2025-10-03 14:00:00+00:00,257.905,258.21,257.37,258.09,16325
2025-10-03 14:05:00+00:00,258.1,258.5,258.02,258.465,15892
2025-10-03 14:10:00+00:00,258.44,258.78,258.44,258.61,18377
2025-10-03 14:15:00+00:00,258.67,258.73,258.2,258.41,18675
2025-10-03 14:20:00+00:00,258.375,258.63,258.08,258.11,11665
2025-10-03 14:25:00+00:00,258.03,258.45,257.86,257.86,23669
2025-10-03 14:30:00+00:00,257.85,258.08,257.54,257.945,22902
2025-10-03 14:35:00+00:00,257.98,258.2,257.88,258.2,12681
2025-10-03 14:40:00+00:00,258.215,258.73,258.215,258.315,19324
2025-10-03 14:45:00+00:00,258.195,258.36,257.995,258.1,11959
2025-10-03 14:50:00+00:00,258.08,258.32,257.9,258.32,8187
2025-10-03 14:55:00+00:00,258.36,258.39,258.16,258.16,9064
2025-10-03 15:00:00+00:00,258.185,258.19,257.95,258.075,10496
2025-10-03 15:05:00+00:00,258.06,258.35,257.955,258.245,12128
2025-10-03 15:10:00+00:00,258.24,258.39,258.07,258.39,6187
2025-10-03 15:15:00+00:00,258.38,258.53,258.315,258.315,10168
2025-10-03 15:20:00+00:00,258.375,258.65,258.31,258.65,9489
2025-10-03 15:25:00+00:00,258.625,258.72,258.41,258.48,14177
2025-10-03 15:30:00+00:00,258.49,258.83,258.425,258.64,17166
2025-10-03 15:35:00+00:00,258.735,258.99,258.58,258.84,37499
2025-10-03 15:40:00+00:00,258.835,259.22,258.59,258.775,32768
2025-10-03 15:45:00+00:00,258.84,258.84,258.32,258.5,19535
2025-10-03 15:50:00+00:00,258.48,258.59,258.335,258.42,13211
2025-10-03 15:55:00+00:00,258.3,258.46,258.275,258.405,9762
2025-10-03 16:00:00+00:00,258.375,258.475,258.31,258.35,9622
