time,open,high,low,close,volume
2025-09-30 19:20:00+00:00,664.795,665.27,664.795,665.2,32806
2025-09-30 19:25:00+00:00,665.195,665.5,665.15,665.36,51272
2025-09-30 19:30:00+00:00,665.39,665.695,665.35,665.44,14723
2025-09-30 19:35:00+00:00,665.495,665.56,665.27,665.41,27385
2025-09-30 19:40:00+00:00,665.25,665.26,664.88,664.98,30425
2025-09-30 19:45:00+00:00,665.005,665.97,665.005,665.97,62292
2025-09-30 19:50:00+00:00,666.02,666.59,665.53,666.38,120675
2025-09-30 19:55:00+00:00,666.43,666.65,665.98,666.06,146247
2025-10-01 12:20:00+00:00,663.33,663.47,663.33,663.47,260
2025-10-01 12:30:00+00:00,663.48,663.48,663.48,663.48,320
2025-10-01 13:30:00+00:00,663.195,664.77,663.16,664.535,18781
2025-10-01 13:35:00+00:00,664.545,665.15,664.21,665.11,30689
2025-10-01 13:40:00+00:00,665.09,665.375,664.78,665.26,28124
2025-10-01 13:45:00+00:00,665.19,665.285,663.355,663.355,23157
2025-10-01 13:50:00+00:00,663.18,663.91,663.09,663.895,24644
2025-10-01 13:55:00+00:00,663.885,664.46,663.6,663.715,28707
2025-10-01 14:00:00+00:00,663.725,664.53,663.435,664.53,19325
2025-10-01 14:05:00+00:00,664.5,664.535,664.11,664.3,14296
2025-10-01 14:10:00+00:00,664.41,664.725,664.41,664.6,15880
2025-10-01 14:15:00+00:00,664.655,665.2,664.62,665.17,15560
2025-10-01 14:20:00+00:00,665.19,665.59,665.145,665.3,23467
2025-10-01 14:25:00+00:00,665.35,665.69,665.345,665.455,13772
2025-10-01 14:30:00+00:00,665.59,665.73,665.36,665.73,22744
2025-10-01 14:35:00+00:00,665.77,666.035,665.65,665.655,18309
2025-10-01 14:40:00+00:00,665.685,665.705,665.27,665.465,18729
2025-10-01 14:45:00+00:00,665.41,665.65,665.32,665.39,14268
2025-10-01 14:50:00+00:00,665.43,665.72,665.43,665.67,12179
2025-10-01 14:55:00+00:00,665.685,665.825,665.665,665.775,10687
2025-10-01 15:00:00+00:00,665.775,666.23,665.77,665.97,13711
2025-10-01 15:05:00+00:00,665.81,666.205,665.8,666.11,8443
2025-10-01 15:10:00+00:00,666.13,666.14,665.77,666.08,14007
2025-10-01 15:15:00+00:00,666.12,666.125,665.82,665.82,9314
